Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
Assessing reliable human mobility patterns from higher-order memory in mobile communications,Alexandre Arenas,"Journal of the Royal Society, Interface",2016,,,https://arxiv.org/pdf/1603.05903.pdf
,Joan T. Matamalas,,,,,
,Manlio De Domenico,,,,,
Augmented Betweenness Centrality for Mobility Prediction in Transportation Networks,Alex,,2012,,,https://pdfs.semanticscholar.org/1a73/7f3e492f912323a189f3139cb632950dd9b7.pdf
,Rami Puzis,,,,,
,Shlomo Bekhor,,,,,
,Yaniv Altshuler,,,,,
,Yuval Elovici,,,,,
Automotive V2X on phones: Enabling next-generation mobile ITS apps,Jason H. Gao,"2016 Design, Automation & Test in Europe…",2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7459429
,Li-Shiuan Peh,,,,,
Big Data Driven Hidden Markov Model Based Individual Mobility Prediction at Points of Interest,Jie Yang,IEEE Transactions on Vehicular Technology,2017,2,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7572081
,Jun Liu,,,,,
,Nirwan Ansari,,,,,
,Qiujian Lv,,,,,
,Yuanyuan Qiao,,,,,
Big Data for Social Sciences: Measuring patterns of human behavior through large-scale mobile phone data,Pral Sundsoy,,2017,,,https://arxiv.org/pdf/1702.08349.pdf
Big Data for Social Sciences: Measuring patterns of human behavior through large-scale mobile phone data,Pral Sundsoy,,2017,,,https://arxiv.org/pdf/1702.08349.pdf
BreadCrumbs: forecasting mobile connectivity,Anthony J. Nicholson,MobiCom,2008,33,24,http://dl.acm.org/citation.cfm?id=1409952
,Brian D. Noble,,,,,
"Calling , texting , and moving : multidimensional interactions of mobile phone users",Christian Quadri,,2015,,,https://pdfs.semanticscholar.org/db1b/7dbf28e273ad0683c16f5fa8d9574ff9597b.pdf
,Gian Paolo Rossi,,,,,
,Matteo Zignani,,,,,
,Sabrina Gaito,,,,,
Calling for Better Measurement : Estimating an Individual ’ s Wealth and Well-Being from Mobile Phone Transaction Records,Joshua Evan Blumenstock,,2014,,,https://pdfs.semanticscholar.org/ef38/b9ce5d7436c9ab913df7fed1de691e804f69.pdf
CarTel: a distributed mobile sensor computing system,Bret Hull,SenSys,2006,75,59,http://dl.acm.org/citation.cfm?id=1182821
,Samuel Madden,,,,,
,Vladimir Bychkovsky,,,,,
Cell phone subscribers mobility prediction using enhanced Markov Chain algorithm,Amnir Hadachi,2014 IEEE Intelligent Vehicles Symposium…,2014,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6856442
,Artjom Lind,,,,,
,Eero Vainikko,,,,,
,Georg Singer,,,,,
,Oleg Batrashev,,,,,
Cell phone subscribers mobility prediction using enhanced Markov Chain algorithm,Amnir Hadachi,2014 IEEE Intelligent Vehicles Symposium…,2014,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6856442
,Artjom Lind,,,,,
,Eero Vainikko,,,,,
,Georg Singer,,,,,
,Oleg Batrashev,,,,,
Characterizing and modeling people movement from mobile phone sensing traces,Björn Richerzhagen,Pervasive and Mobile Computing,2015,,7,http://doi.org/10.1016/j.pmcj.2014.12.001
,Klara Nahrstedt,,,,,
,Long H. Vu,,,,,
,Phuong Nguyen,,,,,
CityCoupling: bridging intercity human mobility,Hodaka Kaneda,UbiComp,2016,,,http://dl.acm.org/citation.cfm?id=2971737
,Ryosuke Shibasaki,,,,,
,Tao Li,,,,,
,Xuan Song,,,,,
,Zipei Fan,,,,,
Cloud Mobile Media: Reflections and Outlook,Chang Wen Chen,IEEE Transactions on Multimedia,2014,4,47,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6782722
,Joel Jos&#x00E9; P. C. Rodrigues,,,,,
,Xiaoqing Zhu,,,,,
,Yonggang Wen,,,,,
Cloud Mobile Media: Reflections and Outlook,Chang Wen Chen,IEEE Transactions on Multimedia,2014,4,47,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6782722
,Joel Jos&#x00E9; P. C. Rodrigues,,,,,
,Xiaoqing Zhu,,,,,
,Yonggang Wen,,,,,
Cluster-aided mobility predictions,Alexandre Proutière,IEEE INFOCOM 2016 - The 35th Annual IEEE…,2016,,,https://arxiv.org/pdf/1507.03292.pdf
,Jaeseong Jeong,,,,,
