Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
Quantifying travel behavior for infectious disease research: a comparison of data from surveys and mobile phones,Amy Wesolowski,Scientific reports,2014,1,13,https://pdfs.semanticscholar.org/4345/cde8331f47453d6c74d32f2a291bf41a3150.pdf
,Caroline O. Buckee,,,,,
,Gillian H. Stresman,,,,,
Region Partition Using User Mobility Patterns Based on Topic Model,Benxiong Huang,2013 IEEE 16th International Conference on…,2013,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6755258
,Feng Xiang,,,,,
,Lai Tu,,,,,
,Xiaojun Yin,,,,,
Regularity and Conformity: Location Prediction Using Heterogeneous Mobility Data,Nicholas Jing Yuan,KDD,2015,4,28,http://dl.acm.org/citation.cfm?id=2783350
,Yingzi Wang,,,,,
,Yong Rui,,,,,
Relating Land Use and Human Intra-City Mobility.,Minjin Lee,PloS one,2015,,,https://pdfs.semanticscholar.org/b9e1/d9128bafac629d53174eed4580ac6348da2b.pdf
,Petter Holme,,,,,
Returners and explorers dichotomy in human mobility,Albert-László Barabási,Nature communications,2015,1,40,https://pdfs.semanticscholar.org/4e24/1aff1f2bee5f247ab9a654869719c99b65b2.pdf
,Dino Pedreschi,,,,,
,Filippo Simini,,,,,
,Fosca Giannotti,,,,,
,Luca Pappalardo,,,,,
,Salvatore Rinzivillo,,,,,
Returners and explorers dichotomy in human mobility,Albert-László Barabási,Nature communications,2015,1,40,https://pdfs.semanticscholar.org/4e24/1aff1f2bee5f247ab9a654869719c99b65b2.pdf
,Dino Pedreschi,,,,,
,Filippo Simini,,,,,
,Fosca Giannotti,,,,,
,Luca Pappalardo,,,,,
,Salvatore Rinzivillo,,,,,
Review of Mobility Models for Performance Evaluation of Wireless Networks,Krzysztof Grochla,ICMMI,2013,,,https://pdfs.semanticscholar.org/2872/9fb8fcead7b78959b48cd47d7c1705d9cafc.pdf
,Michal Gorawski,,,,,
Scalable and privacy-respectful interactive discovery of place semantics from human mobility traces,Gennady L. Andrienko,Information Visualization,2016,1,8,https://pdfs.semanticscholar.org/759d/5e97b5ab290491e8071d5d7605ecbfcfb663.pdf
,Georg Fuchs,,,,,
,Natalia V. Andrienko,,,,,
,Piotr Jankowski,,,,,
Scaling identity connects human mobility and social interactions.,Albert-László Barabási,Proceedings of the National Academy of Sciences…,2016,,13,https://pdfs.semanticscholar.org/35ad/dcac2aa09f492823c2a4d7b21e392bc4dd19.pdf
,Chaoming Song,,,,,
,Dashun Wang,,,,,
,Nathan Eagle,,,,,
,Pierre Deville,,,,,
,Vincent D. Blondel,,,,,
Scaling identity connects human mobility and social interactions.,Albert-László Barabási,Proceedings of the National Academy of Sciences…,2016,,13,https://pdfs.semanticscholar.org/35ad/dcac2aa09f492823c2a4d7b21e392bc4dd19.pdf
,Chaoming Song,,,,,
,Dashun Wang,,,,,
,Nathan Eagle,,,,,
,Pierre Deville,,,,,
,Vincent D. Blondel,,,,,
Semantic Enrichment of Mobile Phone Data Records Using Background Knowledge,Carlo Ratti,ArXiv,2015,,,https://pdfs.semanticscholar.org/1552/f97a6e36d1c3301378782dcbbf6a9df31f45.pdf
,Fabrizio Antonelli,,,,,
,Luciano Serafini,,,,,
,Stanislav Sobolevsky,,,,,
,Zolzaya Dashdorj,,,,,
Semantic Enrichment of Mobile Phone Data Records Using Background Knowledge,Carlo Ratti,ArXiv,2015,,,https://pdfs.semanticscholar.org/1552/f97a6e36d1c3301378782dcbbf6a9df31f45.pdf
,Fabrizio Antonelli,,,,,
,Luciano Serafini,,,,,
,Stanislav Sobolevsky,,,,,
,Zolzaya Dashdorj,,,,,
Semantic enrichment of mobile phone data records,Fabrizio Antonelli,MUM,2013,,,http://dl.acm.org/citation.cfm?id=2541857
,Luciano Serafini,,,,,
,Roberto Larcher,,,,,
,Zolzaya Dashdorj,,,,,
Service Rating Prediction by Exploring Social Mobile Users’ Geographical Locations,Chen Chin Kang,IEEE Transactions on Big Data,2017,,6,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7458855
,Guoshuai Zhao,,,,,
,Xueming Qian,,,,,
SignalGuru: leveraging mobile phones for collaborative traffic signal schedule advisory,Emmanouil Koukoumidis,MobiSys,2011,16,44,https://pdfs.semanticscholar.org/87c8/5aa8e5634e4cc03d5802ae4ce59a8ca5fc03.pdf
,Li-Shiuan Peh,,,,,
,Margaret Martonosi,,,,,
Smart phone use by non-mobile business users,Jeffrey S. Pierce,Mobile HCI,2011,2,6,http://dl.acm.org/citation.cfm?id=2037440
,Patti Bao,,,,,
,Shumin Zhai,,,,,
,Stephen Whittaker,,,,,
SmartDC: Mobility Prediction-Based Adaptive Duty Cycling for Everyday Location Monitoring,Elmurod Talipov,IEEE Transactions on Mobile Computing,2014,7,12,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6412671
,Hojung Cha,,,,,
,Hyojeong Shin,,,,,
,Yohan Chon,,,,,
Socio-Economic Levels and Human Mobility,Jesus Virseda,,,1,,https://pdfs.semanticscholar.org/da22/9daff312fc9df63070bbb20259ac62b1833f.pdf
,Vanessa Frías-Martínez,,,,,
Software architecture and mobility: A roadmap,George Edwards,Journal of Systems and Software,2010,,,http://doi.org/10.1016/j.jss.2009.11.004
,Nenad Medvidovic,,,,,
Spatio-temporal analysis of mobile phone data for interaction recognition,Chi Tin Hon,2018 IEEE 15th International Conference on…,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8361374
,Mengchu Zhou,,,,,
,Mohammadhossein Ghahramani,,,,,
Spatiotemporal Mobility Prediction in Proactive Self-Organizing Cellular Networks,Ali Imran,IEEE Communications Letters,2017,,84,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7725934
,Hasan Farooq,,,,,
Supporting Serendipitous Social Interaction Using Human Mobility Prediction,Bin Guo,IEEE Transactions on Human-Machine Systems,2015,,59,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7160746
,Hui Wang,,,,,
,Tao Gu,,,,,
,Tao Mei,,,,,
,Zhiwen Yu,,,,,
Supporting Serendipitous Social Interaction Using Human Mobility Prediction,Bin Guo,IEEE Transactions on Human-Machine Systems,2015,,59,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7160746
,Hui Wang,,,,,
,Tao Gu,,,,,
,Tao Mei,,,,,
,Zhiwen Yu,,,,,
Surveying the Development of Biometric User Authentication on Mobile Phones,Duncan S. Wong,IEEE Communications Surveys & Tutorials,2015,5,26,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7000543
,Jianying Zhou,,,,,
,Steven Furnell,,,,,
,Weizhi Meng,,,,,
Surveying the Development of Biometric User Authentication on Mobile Phones,Duncan S. Wong,IEEE Communications Surveys & Tutorials,2015,5,26,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7000543
,Jianying Zhou,,,,,
,Steven Furnell,,,,,
,Weizhi Meng,,,,,
Surveying the Development of Biometric User Authentication on Mobile Phones,Duncan S. Wong,IEEE Communications Surveys & Tutorials,2015,5,26,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7000543
,Jianying Zhou,,,,,
,Steven Furnell,,,,,
,Weizhi Meng,,,,,
TRAcME: Temporal Activity Recognition Using Mobile Phone Data,Driss Choujaa,2008 IEEE/IFIP International Conference on…,2008,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4756329
,Naranker Dulay,,,,,
The Geography of Taste: Analyzing Cell-Phone Mobility and Social Events,Carlo Ratti,Pervasive,2010,6,24,https://pdfs.semanticscholar.org/2fc0/61117e3aace54aaac7f2e26bf1767e79d015.pdf
,Francesco Calabrese,,,,,
,Francisco C. Pereira,,,,,
,Giusy Di Lorenzo,,,,,
,Liu Liang,,,,,
The Mobile Data Challenge : Big Data for Mobile Computing Research,Juha K. Laurila,,2012,52,45,https://pdfs.semanticscholar.org/8dae/ecc84fcaf42172cba7ef58e5068fae7bbcbc.pdf
,M. Miettinen,,,,,
The Mobile Data Challenge : Big Data for Mobile Computing Research,Juha K. Laurila,,2012,52,45,https://pdfs.semanticscholar.org/8dae/ecc84fcaf42172cba7ef58e5068fae7bbcbc.pdf
,M. Miettinen,,,,,
The Origin of Heterogeneity in Human Mobility Ranges,Luca Pappalardo,EDBT/ICDT Workshops,2016,,,https://pdfs.semanticscholar.org/ac1c/9aceeff2ada01c39c1215c8641fc9cd30c06.pdf
The impact of social segregation on human mobility in developing and industrialized regions,Alexander Amini,EPJ Data Science,2014,,8,http://doi.org/10.1140/epjds31
,Carlo Ratti,,,,,
,Chaogui Kang,,,,,
,Kevin S. Kung,,,,,
,Stanislav Sobolevsky,,,,,
The role of population heterogeneity and human mobility in the spread of pandemic influenza.,Marco Ajelli,Proceedings. Biological sciences,2010,3,,https://pdfs.semanticscholar.org/e86d/ee8d777afafc2748119a78047f37d9007445.pdf
,Stefano Merler,,,,,
The scaling of human mobility by taxis is exponential,Ke Xu,ArXiv,2011,3,17,https://arxiv.org/pdf/1109.5460.pdf
,Tongyu Zhu,,,,,
,Weifeng Lv,,,,,
,Xiao Liang,,,,,
,Xudong Zheng,,,,,
"Three Words about Mobile Phones : Findings from Sweden , the Us , Italy , Japan , and Korea",Naomi S. Baron,,2009,,,https://pdfs.semanticscholar.org/37ae/520ce305452815e0ad181c05723ef3adc473.pdf
Three-Dimensional Media for Mobile Devices,Atanas Boev,Proceedings of the IEEE,2011,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5725138
,Atanas P. Gotchev,,,,,
,Dominik Strohmeier,,,,,
,Gozde Bozdagi Akar,,,,,
,Tolga K. Çapin,,,,,
Towards Efficient Mobile M2M Communications: Survey and Open Challenges,Ana Aguiar,Sensors,2014,3,30,https://pdfs.semanticscholar.org/9430/c255e35e121e730349eecf64903cc14f8919.pdf
,Carlos Pereira,,,,,
Tracking Employment Shocks Using Mobile Phone Data,Daniel Shoag,"Journal of the Royal Society, Interface",2015,,7,https://arxiv.org/pdf/1505.06791.pdf
,David Lazer,,,,,
,Erich Muehlegger,,,,,
,Jameson L. Toole,,,,,
,Marta C. González,,,,,
,Yu-Ru Lin,,,,,
Tracking Employment Shocks Using Mobile Phone Data,Daniel Shoag,"Journal of the Royal Society, Interface",2015,,7,https://arxiv.org/pdf/1505.06791.pdf
,David Lazer,,,,,
,Erich Muehlegger,,,,,
,Jameson L. Toole,,,,,
,Marta C. González,,,,,
,Yu-Ru Lin,,,,,
Trajectory anonymity in publishing personal mobility data,Francesco Bonchi,SIGKDD Explorations,2011,2,,http://dl.acm.org/citation.cfm?id=2031336
,Laks V. S. Lakshmanan,,,,,
,Wendy Hui Wang,,,,,
Transportation Mode Split with Mobile Phone Data,Hang Gong,2015 IEEE 18th International Conference on…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7313148
,Pu Wang,,,,,
,Yingchun Qu,,,,,
Transportation Mode Split with Mobile Phone Data,Hang Gong,2015 IEEE 18th International Conference on…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7313148
,Pu Wang,,,,,
,Yingchun Qu,,,,,
Transportation mode detection using mobile phones and GIS information,Bo Xu,GIS,2011,21,43,http://dl.acm.org/citation.cfm?id=2093982
,Leon Stenneth,,,,,
,Ouri Wolfson,,,,,
,Philip S. Yu,,,,,
Uncovering individual and collective human dynamics from mobile phone records,Albert-László Barabási,,2007,13,47,https://pdfs.semanticscholar.org/55c8/071e1a5e96734af9dbf1010a30d7ac79621a.pdf
,Greg Madey,,,,,
,Julián Candia,,,,,
,Marta C. González,,,,,
,Pu Wang,,,,,
,Timothy W. Schoenharl,,,,,
Understanding Human Mobility and Workload Dynamics Due to Different Large-Scale Events Using Mobile Phone Data,Faber Henrique Z. Xavier,Journal of Network and Systems Management,2018,,,http://doi.org/10.1007/s10922-018-9454-3
,Humberto Torres Marques-Neto,,,,,
,Jussara M. Almeida,,,,,
Understanding Human Mobility and Workload Dynamics Due to Different Large-Scale Events Using Mobile Phone Data,Faber Henrique Z. Xavier,Journal of Network and Systems Management,2018,,,http://doi.org/10.1007/s10922-018-9454-3
,Humberto Torres Marques-Neto,,,,,
,Jussara M. Almeida,,,,,
Understanding Human Mobility from Twitter,David Newth,PloS one,2015,7,25,https://arxiv.org/pdf/1412.2154.pdf
,Jiajun Liu,,,,,
,Kun Zhao,,,,,
,Mark A. Cameron,,,,,
,Maurice AbouJaoude,,,,,
,Raja Jurdak,,,,,
Understanding Human Mobility from Twitter,David Newth,PloS one,2015,7,25,https://arxiv.org/pdf/1412.2154.pdf
,Jiajun Liu,,,,,
,Kun Zhao,,,,,
,Mark A. Cameron,,,,,
,Maurice AbouJaoude,,,,,
,Raja Jurdak,,,,,
Understanding Single-Handed Mobile Device Interaction,Amy K. Karlson,,2006,7,5,https://pdfs.semanticscholar.org/6770/2fe26fabeaf28df44837ea28d153fce3c1b3.pdf
,Benjamin B. Bederson,,,,,
,José Luis Contreras-Vidal,,,,,
Understanding Spatiotemporal Patterns of Human Convergence and Divergence Using Mobile Phone Location Data,Xiping Yang,ISPRS Int. J. Geo-Information,2016,,,https://pdfs.semanticscholar.org/eceb/5c60b044f075bdbf5cb82ab5f0a9e060507b.pdf
,Yunong Lin,,,,,
,Zhixiang Fang,,,,,
Understanding Urban Human Mobility for Network Applications,Eiko Yoneki,,2015,,,https://pdfs.semanticscholar.org/f6c8/a0dabeeda1c1a6516392205c3f3aa1a6db91.pdf
,Jukka K. Nurminen,,,,,
,Kai Zhao,,,,,
,Sasu Tarkoma,,,,,
Understanding Urban Human Mobility through Crowdsensed Data,Bige Tunçer,IEEE Communications Magazine,2018,,,https://arxiv.org/pdf/1805.00628.pdf
,Billy Pik Lik Lau,,,,,
,Chau Yuen,,,,,
,Erik Wilhelm,,,,,
,Yuren Zhou,,,,,
Understanding aggregate human mobility patterns using passive mobile phone location data : a home-based approach,Ling Yin,,2015,1,10,https://pdfs.semanticscholar.org/b95d/cd221d887b510843d7beed5a3b7f28b1c92a.pdf
,Qingquan Li,,,,,
,Shih-Lung Shaw,,,,,
,Yang Xu,,,,,
,Zhixiang Fang,,,,,
,Ziliang Zhao,,,,,
Understanding aggregate human mobility patterns using passive mobile phone location data : a home-based approach,Ling Yin,,2015,1,10,https://pdfs.semanticscholar.org/b95d/cd221d887b510843d7beed5a3b7f28b1c92a.pdf
,Qingquan Li,,,,,
,Shih-Lung Shaw,,,,,
,Yang Xu,,,,,
,Zhixiang Fang,,,,,
,Ziliang Zhao,,,,,
Understanding aggregate human mobility patterns using passive mobile phone location data : a home-based approach,Ling Yin,,2015,1,10,https://pdfs.semanticscholar.org/b95d/cd221d887b510843d7beed5a3b7f28b1c92a.pdf
,Qingquan Li,,,,,
,Shih-Lung Shaw,,,,,
,Yang Xu,,,,,
,Zhixiang Fang,,,,,
,Ziliang Zhao,,,,,
Understanding individual human mobility patterns,Albert-László Barabási,Nature,2008,175,369,https://arxiv.org/pdf/0806.1256.pdf
,Marta C. González,,,,,
,R. A. Hidalgo CesarA.Hidalgo,,,,,
Understanding the Representativeness of Mobile Phone Location Data in Characterizing Human Mobility Indicators,Shiwei Lu,ISPRS Int. J. Geo-Information,2017,,,https://pdfs.semanticscholar.org/2824/82684825fc767fd1f4698ea2f12746ef814d.pdf
,Xiping Yang,,,,,
,Zhixiang Fang,,,,,
Understanding the Representativeness of Mobile Phone Location Data in Characterizing Human Mobility Indicators,Shiwei Lu,ISPRS Int. J. Geo-Information,2017,,,https://pdfs.semanticscholar.org/2824/82684825fc767fd1f4698ea2f12746ef814d.pdf
,Xiping Yang,,,,,
,Zhixiang Fang,,,,,
Understanding the spreading patterns of mobile phone viruses,Albert-László Barabási,Science,2009,14,31,https://arxiv.org/pdf/0906.4567.pdf
,Marta C. González,,,,,
,Pu Wang,,,,,
Unveiling hidden migration and mobility patterns in climate stressed regions : A longitudinal study of six million anonymous mobile phone users in Bangladesh,R. A. Hidalgo CesarA.Hidalgo,,2016,,,https://pdfs.semanticscholar.org/63b8/b74ce6cef68915acc82534eb9293ac91d784.pdf
Unveiling the complexity of human mobility by querying and mining massive trajectory data,Fosca Giannotti,The VLDB Journal,2011,6,32,http://doi.org/10.1007/s00778-011-0244-8
,Mirco Nanni,,,,,
,Roberto Trasarti,,,,,
Urban Sensing Using Mobile Phone Network Data: A Survey of Research,Francesco Calabrese,ACM Comput. Surv.,2014,3,28,http://dl.acm.org/citation.cfm?id=2655691
,Laura Ferrari,,,,,
,Vincent D. Blondel,,,,,
Urban Sensing Using Mobile Phone Network Data: A Survey of Research,Francesco Calabrese,ACM Comput. Surv.,2014,3,28,http://dl.acm.org/citation.cfm?id=2655691
,Laura Ferrari,,,,,
,Vincent D. Blondel,,,,,
Urban Sensing Using Mobile Phone Network Data: A Survey of Research,Francesco Calabrese,ACM Comput. Surv.,2014,3,28,http://dl.acm.org/citation.cfm?id=2655691
,Laura Ferrari,,,,,
,Vincent D. Blondel,,,,,
Urban human mobility data mining: An overview,Huy T. Vo,2016 IEEE International Conference on Big Data…,2016,,9,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7840811
,Kai Zhao,,,,,
,Sasu Tarkoma,,,,,
,Siyuan Liu,,,,,
Urban human mobility data mining: An overview,Huy T. Vo,2016 IEEE International Conference on Big Data…,2016,,9,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7840811
,Kai Zhao,,,,,
,Sasu Tarkoma,,,,,
,Siyuan Liu,,,,,
Usability engineering for mobile maps,Guido M. te Brake,Mobility Conference,2007,3,,http://dl.acm.org/citation.cfm?id=1378150
,Mark A. Neerincx,,,,,
,Rosemarijn Looije,,,,,
Use of Mobile Phone Data to Estimate Visitors Mobility Flows,Barbara Furletti,SEFM Workshops,2014,,,https://pdfs.semanticscholar.org/dfe0/601f4894ddb124f00d5787ffce069a687630.pdf
,Fosca Giannotti,,,,,
,Lorenzo Gabrielli,,,,,
,Mirco Nanni,,,,,
,Salvatore Rinzivillo,,,,,
Use of Mobile Phone Data to Estimate Visitors Mobility Flows,Barbara Furletti,SEFM Workshops,2014,,,https://pdfs.semanticscholar.org/dfe0/601f4894ddb124f00d5787ffce069a687630.pdf
,Fosca Giannotti,,,,,
,Lorenzo Gabrielli,,,,,
,Mirco Nanni,,,,,
,Salvatore Rinzivillo,,,,,
User Behaviour Captured by Mobile Phones,Arjan J. H. Peddemors,AmI Workshops,2011,,,https://pdfs.semanticscholar.org/4e45/aed266506aee99aecf246aa6a504ab6714ec.pdf
,Johan Koolwaaij,,,,,
,Wouter B. Teeuw,,,,,
Using Deep Learning to Predict Demographics from Mobile Phone Metadata,Alex Pentland,ArXiv,2015,,8,https://arxiv.org/pdf/1511.06660.pdf
,Bjarke Felbo,,,,,
,Pål Roe Sundsøy,,,,,
,Sune Lehmann,,,,,
,Yves-Alexandre de Montjoye,,,,,
Using Deep Learning to Predict Demographics from Mobile Phone Metadata,Alex Pentland,ArXiv,2015,,8,https://arxiv.org/pdf/1511.06660.pdf
,Bjarke Felbo,,,,,
,Pål Roe Sundsøy,,,,,
,Sune Lehmann,,,,,
,Yves-Alexandre de Montjoye,,,,,
Using Google Location History data to quantify fine-scale human mobility,Andrew J. Tatem,International journal of health geographics,2018,,,https://pdfs.semanticscholar.org/321f/14b42c09cbebd367f65f15d83aeb3ad5674b.pdf
,Corrine W. Ruktanonchai,,,,,
,Jessica Rhona Floyd,,,,,
,Nick Warren Ruktanonchai,,,,,
Using Mobile Phone Data to Predict the Spatial Spread of Cholera,Jean Gaudart,Scientific reports,2015,1,28,https://pdfs.semanticscholar.org/f847/94eea60ecf3a97f68b76794728ebaec9b0a8.pdf
,Linus Bengtsson,,,,,
,Renaud Piarroux,,,,,
Using Mobile Phone Data to Predict the Spatial Spread of Cholera,Jean Gaudart,Scientific reports,2015,1,28,https://pdfs.semanticscholar.org/f847/94eea60ecf3a97f68b76794728ebaec9b0a8.pdf
,Linus Bengtsson,,,,,
,Renaud Piarroux,,,,,
Using Mobile Phones to Nurture Social Networks,Daniele Quercia,IEEE Pervasive Computing,2010,3,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5445074
,Jonathan Ellis,,,,,
,Licia Capra,,,,,
Using big data to study the link between human mobility and socio-economic development,Dino Pedreschi,2015 IEEE International Conference on Big Data…,2015,1,9,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7363835
,Fosca Giannotti,,,,,
,Luca Pappalardo,,,,,
,Zbigniew Smoreda,,,,,
Using big data to study the link between human mobility and socio-economic development,Dino Pedreschi,2015 IEEE International Conference on Big Data…,2015,1,9,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7363835
,Fosca Giannotti,,,,,
,Luca Pappalardo,,,,,
,Zbigniew Smoreda,,,,,
Using mobile phones to determine transportation modes,Deborah Estrin,TOSN,2010,52,84,http://dl.acm.org/citation.cfm?id=1689243
,Jeff Burke,,,,,
,Mani B. Srivastava,,,,,
,Mark H. Hansen,,,,,
,Min Y. Mun,,,,,
,Sasank Reddy,,,,,
Vehicular networks and the future of the mobile internet,Leonard Kleinrock,Computer Networks,2011,10,31,http://doi.org/10.1016/j.comnet.2010.10.015
,Mario Gerla,,,,,
Visual analysis of people's mobility pattern from mobile phone data,Huamin Qu,VINCI,2011,,,http://dl.acm.org/citation.cfm?id=2016669
,Jiansu Pu,,,,,
,Lionel M. Ni,,,,,
,Panpan Xu,,,,,
,Siyuan Liu,,,,,
,Weiwei Cui,,,,,
When Mobile Crowd Sensing Meets Traditional Industry,Lei Shu,IEEE Access,2017,1,7,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7837601
,Lei Wang,,,,,
,Neil W. Bergmann,,,,,
,Yuanfang Chen,,,,,
,Zhiqiang Huo,,,,,
Why do people move? Enhancing human mobility prediction using local functions based on public records and SNS data,Jungmin Kim,PloS one,2018,1,,https://pdfs.semanticscholar.org/f3b4/b75ac4685c644369569c3294a5a5d115a531.pdf
,Juyong Park,,,,,
,Wonjae Lee,,,,,
Wireless sensor deployment for collaborative sensing with mobile phones,Edith C.-H. Ngai,Computer Networks,2011,,,http://doi.org/10.1016/j.comnet.2011.06.017
,Jiangchuan Liu,,,,,
,Zheng Ruan,,,,,
Wireless sensor network deployment in mobile phones assisted environment,Edith C.-H. Ngai,2010 IEEE 18th International Workshop on Quality…,2010,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5542754
,Jiangchuan Liu,,,,,
,Zheng Ruan,,,,,
proXimity: Ad-Hoc Networks for Enhanced Mobility,Carole A. Goble,ICCHP,2004,,,https://pdfs.semanticscholar.org/62a7/0dfbe0fde02c482ee365bf0dbf575a494d0b.pdf
,Simon Harper,,,,,
,Stephen Pettitt,,,,,
